num,actividad,op,material_pn,herramental,ct_seg,ct_min,pzas_hr,observaciones,accion
1,"Agregar cable CBL-00902-01 + tornillos
a ASY-20038-02",1.0,"ASY-20038-02;A0
ASY-20062-02;A0
ASY-20061-02;A0
H FAS-01436","Llaves Allen/Hex
Fixture SG-2973
Torque 68 in/lb
Punta Hex 5/32",86.0,1.43,125.6,Movimiento adicional al retirar de fixture,Optimizar fixture SG-2973 para retiro rápido
2,Instalar/apretar tornillos PN 20061,2.0,"ASY-20061-02;A0
H FAS-01358","Fixture SG-2973
Torque 68 in/lb",,,,CT compartido con op 1,Verificar torque correcto 68 in/lb
3,Instalar/apretar tornillos PN 20062,3.0,"ASY-20062-02;A0
H FAS-01358","Fixture SG-2973
Torque 68 in/lb",,,,CT compartido,Empacar en caja para siguiente estación
1,Acomodar piezas + 29 brackets H MECH-05450-01,1.0,"ASY-09039-05;A0
H FAS-00458
H MECH-05450-01",Desarmador Estrella,,,,Dificultad por bracket — dividida en 2,Operador 1: acomoda piezas
2,Apretar tornillos + torque final brackets,1.0,ASY-09037-05;A0,Torque 6 LB,494.0,8.23,7.3,Estación ya dividida en 2 sub-pasos,Mantener división — agregar etiquetas en brackets
1,Aplicar tornillos y brackets en tapa ASY-09039,1.0,ASY-09037-05;A0,"Pistola calor
Pinzas punta
Tijeras/cutter",50.0,0.83,72.0,Rechazo por marcas superficiales del material,Revisar con calidad y proveedor — insp. entrada
1,Colocar gasket LBL-02042-01 con calor,3.0,"ASY-09037-05;A0
LBL-02042-01","Pistola calor
Pinzas punta
Fixture de apoyo (pendiente)",900.0,15.0,12.0,"CT = 900s MUY ALTO / Takt = 2217s pero con 3 ops = OK
Proceso sin fixture definido","URGENTE: Diseñar fixture guía calor
Reducir CT objetivo < 300 seg"
1,Colocar gasket LBL-02045-01 + calor + fixture,1.0,"ASY-09039-05;A0
LBL-02045-01","Pistola calor
Pinzas punta
Fixture (diseñado)",84.0,1.4,42.9,Fixture ya diseñado — seguridad del operador,Implementar fixture — revisar temp. pistola
1,Colocar base + instalar (4) ASY-20062-02,2.0,"ASY-09037-05;A0
ASY-20062-02;A0
A CBL-00902-01","Torque
Plantilla ruteo",,,,Sin WI visual para cables,CREAR instrucción de trabajo visual cables
2,Instalar (8) ASY-20061-02,2.0,ASY-20061-02;A0,Torque,,,,,Color code cables por tipo
3,Aplicar tapa + ruteo correcto,2.0,ASY-09039-05;A0,Plantilla visual,,,,Corrección WI en proceso,Actualizar WI y validar
4,Revisión QA + 2 tornillos cierre,2.0,H FAS-00XXX,Torque,,,,,QC inline — no esperar final
5,Aplicar etiqueta + colocar en rack,2.0,Etiqueta final,Plantilla etiqueta,2820.0,47.0,2.55,CT MAYOR QUE TAKT — cuello,Añadir 1 operador adicional — dividir pasos
1,Colocar en bolsa + caja interna,2.0,"Bolsa protectora
Caja interna",Carro elevador,,,,,Ergonomía: verificar altura de trabajo
2,Cerrar + colocar en caja exterior,2.0,Caja exterior,,300.0,5.0,24.0,,Estandarizar secuencia empaque
TOTALES,Tiempo Ciclo Total (mayor recurso),,,,2820.0,47.0,2.55,CT Bottleneck: Est. 6 = 2820 seg >> Takt 2217 seg,
