source_file,sheet_name,raw_csv,row_count,column_count
Estacion 1 y 2 Norhtface.xlsx,Est.1 Subensambles 7-24,adriana_projects/data/raw_csv/estacion_1_y_2_norhtface__est_1_subensambles_7_24.csv,26,19
Estacion 1 y 2 Norhtface.xlsx,Est.2 Rack2-Fabricards,adriana_projects/data/raw_csv/estacion_1_y_2_norhtface__est_2_rack2_fabricards.csv,23,9
Estudio Balanceo Sanmina.xlsx,Dashboard,adriana_projects/data/raw_csv/estudio_balanceo_sanmina__dashboard.csv,10,5
Estudio Balanceo Sanmina.xlsx,Estudio de tiempos,adriana_projects/data/raw_csv/estudio_balanceo_sanmina__estudio_de_tiempos.csv,18,12
Estudio Balanceo Sanmina.xlsx,Estudio de tiempos (2),adriana_projects/data/raw_csv/estudio_balanceo_sanmina__estudio_de_tiempos_2.csv,22,14
Estudio Balanceo Sanmina.xlsx,Estudio de tiempos (3),adriana_projects/data/raw_csv/estudio_balanceo_sanmina__estudio_de_tiempos_3.csv,20,14
Estudio Balanceo Sanmina.xlsx,Sheet2,adriana_projects/data/raw_csv/estudio_balanceo_sanmina__sheet2.csv,88,3
Kanban - AFL Ascend.xlsm,Resumen,adriana_projects/data/raw_csv/kanban_afl_ascend__resumen.csv,102,19
Kanban - AFL Ascend.xlsm,Notificacion,adriana_projects/data/raw_csv/kanban_afl_ascend__notificacion.csv,3,3
Kanban - AFL Ascend.xlsm,Mapa de proceso,adriana_projects/data/raw_csv/kanban_afl_ascend__mapa_de_proceso.csv,1,6
Material Northface.xlsx,Plan for every part,adriana_projects/data/raw_csv/material_northface__plan_for_every_part.csv,127,30
NUMEROS DE ARISTA ENSAMBLE.xlsx,KANTISHNA,adriana_projects/data/raw_csv/numeros_de_arista_ensamble__kantishna.csv,44,18
NUMEROS DE ARISTA ENSAMBLE.xlsx,NORTHFACE,adriana_projects/data/raw_csv/numeros_de_arista_ensamble__northface.csv,27,11
North face - Components matrix 1.xlsx,Plan for every part,adriana_projects/data/raw_csv/north_face_components_matrix_1__plan_for_every_part.csv,127,30
North face - Components matrix 1.xlsx,Cart-PN Matrix,adriana_projects/data/raw_csv/north_face_components_matrix_1__cart_pn_matrix.csv,49,21
North face - Components matrix 1.xlsx,Process map,adriana_projects/data/raw_csv/north_face_components_matrix_1__process_map.csv,1,8
North face - Components matrix 1.xlsx,BOM,adriana_projects/data/raw_csv/north_face_components_matrix_1__bom.csv,163,18
North face - Components matrix 1.xlsx,Leadtimes,adriana_projects/data/raw_csv/north_face_components_matrix_1__leadtimes.csv,304,12
North face - Components matrix 1.xlsx,Assy WC,adriana_projects/data/raw_csv/north_face_components_matrix_1__assy_wc.csv,400,17
Northface 1.xlsx,Analisis Ensamble ,adriana_projects/data/raw_csv/northface_1__analisis_ensamble.csv,12,8
Northface Ensamble @13.xlsx,Master Sheet,adriana_projects/data/raw_csv/northface_ensamble_13__master_sheet.csv,5,12
Northface Ensamble @13.xlsx,NORTH FACE,adriana_projects/data/raw_csv/northface_ensamble_13__north_face.csv,225,22
Northface Ensamble @13.xlsx,Pillar Chart  NORTHFACE,adriana_projects/data/raw_csv/northface_ensamble_13__pillar_chart_northface.csv,11,11
Northface Ensamble @13.xlsx,Configuración ,adriana_projects/data/raw_csv/northface_ensamble_13__configuraci_n.csv,13,3
PFM Non_Sell V2 (Jan 19th).xlsx,SIOP File,adriana_projects/data/raw_csv/pfm_non_sell_v2_jan_19th__siop_file.csv,298,121
PFM Non_Sell V2 (Jan 19th).xlsx,Pivot,adriana_projects/data/raw_csv/pfm_non_sell_v2_jan_19th__pivot.csv,10,4
PFM Non_Sell V2 (Jan 19th).xlsx,PFM NON-SELL,adriana_projects/data/raw_csv/pfm_non_sell_v2_jan_19th__pfm_non_sell.csv,98,120
PFM Non_Sell V2 (Jan 19th).xlsx,PFM NON-SELL (Draft Layers),adriana_projects/data/raw_csv/pfm_non_sell_v2_jan_19th__pfm_non_sell_draft_layers.csv,850,129
SKYLINBEMATRIX.xlsx,PFEP,adriana_projects/data/raw_csv/skylinbematrix__pfep.csv,89,26
SKYLINBEMATRIX.xlsx,assy_wc,adriana_projects/data/raw_csv/skylinbematrix__assy_wc.csv,32,17
SKYLINBEMATRIX.xlsx,BOM,adriana_projects/data/raw_csv/skylinbematrix__bom.csv,385,18
SKYLINBEMATRIX.xlsx,cart_nomenclature,adriana_projects/data/raw_csv/skylinbematrix__cart_nomenclature.csv,1,1
SKYLINBEMATRIX.xlsx,cart-pn_atrix,adriana_projects/data/raw_csv/skylinbematrix__cart_pn_atrix.csv,49,21
SKYLINBEMATRIX.xlsx,Process map,adriana_projects/data/raw_csv/skylinbematrix__process_map.csv,1,8
SKYLINBEMATRIX.xlsx,Leadtimes,adriana_projects/data/raw_csv/skylinbematrix__leadtimes.csv,304,12
